source,is_actual_sale,listing_type,price,area_sqm,property_type,bedrooms,bathrooms,floor,total_floors,year_built,district,municipality,latitude,longitude,distance_to_sea_km,distance_to_center_km,has_parking,has_sea_view,has_pool,has_garden,has_title_deed,is_tourist_area,sale_date,property_age,price_per_sqm,area_median_price_sqm
synthetic,True,resale,131000,62,apartment,1.0,1.0,4.0,4.0,2018.0,lefkosia,Engomi,35.171795,33.354202,63.534,2.98,True,False,False,False,True,False,2025-07-04,7,2112.9032258064517,2024
synthetic,True,resale,135000,46,apartment,4.0,2.0,2.0,4.0,2016.0,lemesos,Mouttagiaka,34.706391,33.071934,6.084,3.553,True,False,False,False,True,True,2026-01-01,9,2934.782608695652,3193
synthetic,True,resale,1248000,629,villa,5.0,4.0,,2.0,2011.0,lemesos,Kato Polemidia,34.68744,33.008882,4.242,3.478,False,False,True,True,True,False,2026-02-06,14,1984.101748807631,1493
synthetic,True,resale,1000000,238,villa,4.0,4.0,,2.0,2015.0,lemesos,Mouttagiaka,34.70972,33.083109,6.438,4.534,False,False,True,True,True,True,2025-03-16,10,4201.680672268908,3193
synthetic,True,resale,353000,97,apartment,3.0,2.0,2.0,4.0,2011.0,lemesos,Mouttagiaka,34.719566,33.087216,7.662,5.576,False,False,False,False,True,True,2025-06-13,14,3639.175257731959,3193
synthetic,True,resale,85000,45,apartment,1.0,1.0,5.0,6.0,2022.0,larnaka,Drosia,34.925609,33.623231,2.746,0.301,True,False,True,False,True,False,2025-02-05,3,1888.888888888889,1832
synthetic,True,resale,346000,182,house,4.0,3.0,,1.0,2015.0,pafos,Yeroskipou,34.765658,32.457824,4.931,3.269,True,False,False,True,True,False,2024-05-29,10,1901.098901098901,1531
synthetic,True,resale,180000,116,house,4.0,3.0,,2.0,2017.0,lemesos,Kato Polemidia,34.698236,33.014405,4.863,3.42,True,False,False,True,True,False,2025-07-03,8,1551.7241379310344,1493
synthetic,True,new_build,145000,48,apartment,4.0,1.0,3.0,6.0,1999.0,lemesos,Pyrgos,34.72212,33.112119,9.616,7.463,True,False,False,False,True,True,2024-09-22,26,3020.8333333333335,2440
synthetic,True,new_build,63000,46,apartment,2.0,1.0,1.0,1.0,1985.0,lefkosia,Strovolos,35.135443,33.339404,64.715,6.805,False,False,False,False,True,False,2024-09-13,40,1369.5652173913043,1771
synthetic,True,resale,148000,54,apartment,2.0,1.0,2.0,3.0,1992.0,lemesos,Mouttagiaka,34.715743,33.074774,6.729,4.534,True,False,False,False,True,True,2024-06-14,33,2740.740740740741,3193
